Sample, Source,Position(mm),Absorbance, Fraction Number, Fraction Volume(ml)
672489.263,250651.105,0,-0.033826, , 
672394,250613.158,0.2,-0.033848, , 
672343.868,250591.132,0.3,-0.033878, , 
672400.684,250607.053,0.4,-0.033925, , 
672713.763,250729.868,0.49,-0.03387, , 
672566.711,250670.237,0.59,-0.033913, , 
672496.711,250646.026,0.69,-0.033897, , 
672612.974,250683.632,0.79,-0.033948, , 
672682.474,250704.553,0.89,-0.033993, , 
672588.605,250662.684,0.99,-0.034055, , 
672664.263,250692,1.09,-0.034044, , 
672635.842,250681.053,1.19,-0.034048, , 
672628.789,250674.526,1.29,-0.034083, , 
672636.105,250671.737,1.39,-0.034132, , 
673667.053,251052.237,1.48,-0.034165, , 
672500.526,250611.921,1.58,-0.034216, , 
672475.342,250600.842,1.68,-0.034231, , 
672550.816,250629.632,1.78,-0.034225, , 
672652.658,250663.789,1.88,-0.034259, , 
672778.605,250705.395,1.98,-0.034307, , 
673339.579,250912.711,2.08,-0.034322, , 
672657.184,250653.026,2.18,-0.034371, , 
672662.447,250645.105,2.28,-0.034459, , 
672425.842,250554.605,2.38,-0.03448, , 
672557.842,250599.816,2.48,-0.034516, , 
672419.079,250543.632,2.58,-0.034556, , 
672442.579,250553.474,2.68,-0.034547, , 
672204.132,250460.737,2.77,-0.034582, , 
672384,250526.447,2.87,-0.034593, , 
672270.237,250487.289,2.97,-0.034564, , 
672459.474,250546.947,3.07,-0.034662, , 
672498.342,250560.368,3.17,-0.034671, , 
672468.105,250543.158,3.27,-0.034725, , 
671831.526,250599.316,3.37,-0.032089, , 
671334.026,250573.711,3.47,-0.030652, , 
672039.368,250572.579,3.57,-0.033025, , 
125028.158,250505.763,3.67,3.751107, , 
10777.842,250446.684,3.76,9.266499, , 
10860.395,250423.974,3.86,9.249123, , 
10915.053,250455.737,3.96,9.238111, , 
10953.526,250579.526,4.06,9.231304, , 
10998.684,250739.711,4.16,9.223484, , 
11028.5,250439.421,4.26,9.214695, , 
11078.316,250523.079,4.36,9.205304, , 
11155.579,250541.974,4.46,9.189833, , 
11246.895,250566.447,4.56,9.171707, , 
11360.5,250541.816,4.66,9.148868, , 
11486.632,250521.553,4.75,9.123838, , 
11640.895,250486.316,4.85,9.093499, , 
11819.026,250464.184,4.95,9.059125, , 
12052.763,250462.895,5.05,9.015042, , 
12314.342,250610.289,5.15,8.968048, , 
12621.237,250528.816,5.25,8.911919, , 
12969.553,250622.553,5.35,8.851495, , 
13374.737,250585.763,5.45,8.781935, , 
13808.816,250580.316,5.55,8.710008, , 
14302,250590.105,5.65,8.631123, , 
14861.816,250629.474,5.75,8.545069, , 
15493.316,250661.684,5.85,8.45171, , 
16223.5,250722.789,5.95,8.348621, , 
17056.579,250694.842,6.04,8.235679, , 
17929.053,250599.632,6.14,8.122558, , 
19013.842,250559.947,6.24,7.99, , 
20186.737,250527.711,6.34,7.855003, , 
21473.842,250652.158,6.44,7.717022, , 
22969.605,250612.579,6.54,7.56513, , 
24729.763,250581.816,6.64,7.398692, , 
26703.579,250575.947,6.74,7.225828, , 
28948.868,250567.395,6.84,7.044066, , 
31464,250503.553,6.94,6.856002, , 
34195.868,250537.526,7.03,6.668934, , 
37186.842,250571.289,7.13,6.480538,1,1.003
40514.737,250593.026,7.23,6.287846, , 
44073,250680.605,7.33,6.099188, , 
47884.605,250498.842,7.43,5.910889, , 
52116.263,250581.789,7.53,5.721061, , 
57049.474,250570.842,7.63,5.517429, , 
62236.342,250559.053,7.73,5.321489, , 
68137.737,250513.684,7.83,5.11721, , 
74132.079,250480.842,7.93,4.927165, , 
80447.684,250451.132,8.02,4.742905, , 
87635.526,250793.395,8.12,4.553388, , 
95006.895,250805.658,8.22,4.371746, , 
102326.316,250510.842,8.32,4.202077, , 
110688.105,250427.921,8.42,4.024562, , 
119361.289,250506.737,8.52,3.8555, , 
128445.158,250450.079,8.62,3.689928, , 
137968,250460.632,8.72,3.529073, , 
148374.737,250654.053,8.82,3.36716, , 
158249.447,250291.526,8.92,3.218904, , 
169014.079,250266.053,9.02,3.070575, , 
180432.395,250401.342,9.12,2.924671, , 
191662.605,250486.947,9.22,2.789558, , 
202340.342,250470.947,9.31,2.667408, , 
